_unit_id,_worker_id,identity_hate,obscene,threat,insult
y8hD11I6/FIAywrkZOTm/BZprzc=,Cg4r1N0il1EURqC8iX9AYiXLUJE=,1,1,0,1
y8hD11I6/FIAywrkZOTm/BZprzc=,sbGsQAn+wkmkPli5Qi/eBRlWKJQ=,0,1,0,1
y8hD11I6/FIAywrkZOTm/BZprzc=,K/ub7qQfO+ma0kF8UzvmqotrVmU=,0,1,0,1
y8hD11I6/FIAywrkZOTm/BZprzc=,tpa7rKWsL+D8gqdD6puq6Kofy04=,0,1,0,1
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,lz8GcC1Alxmpk4C+KchcLk/R9qU=,0,0,0,0
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,jm11A1l2/xvkG5Q8GW95wzTgoRI=,0,0,0,0
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,YK56Tp9icrq7DjyCCuvwz9q6A1o=,0,0,0,0
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,U41fQH7vHeM3IjOntYpcJGq9P2U=,0,0,0,0
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,vY9qBT+WzZk9Pi8yGtz2RBbDAiM=,0,0,0,0
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,y94tlFM8sUuaXUSLJa3SmjIl3ak=,0,0,0,0
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,arEOL6kMe2+Z/wZF9+g3SVc/rIU=,1,0,0,1
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,T+OY7w/Il0pvyl+m04v2GdxHFv8=,0,0,0,0
I2ZqEb2THNZ4GYw1ksyvwpfsERg=,Jmn1MfaSkQUTWv/WsyT/T6zLRaE=,0,0,0,0
i44RvDHB0QN8g+tQTTlLDkbTnnw=,zFmcGpxPGFbnaoFx2nmN6nLwMs0=,0,0,0,0
i44RvDHB0QN8g+tQTTlLDkbTnnw=,205REKrk+RqQ8rUjej2PyLFC4U8=,0,0,0,0
i44RvDHB0QN8g+tQTTlLDkbTnnw=,tF6odaUf5ltIUp2vc+Ec4ZaFjAI=,0,0,0,0
